time;X_value;Y_value;Z_value
0,8432;-0,31843;1,39103;10,21875
0,846;-0,29928;1,40061;10,21875
0,846;-0,29688;1,403;10,18523
0,8483;-0,28252;1,39821;10,1182
0,8504;-0,26097;1,40061;10,08228
0,8523;-0,23942;1,40779;9,97454
0,8536;-0,2059;1,43652;9,88596
0,8562;-0,18196;1,45807;9,84526
0,8625;-0,11253;1,52989;9,74949
0,8625;-0,09098;1,55144;9,71358
0,8634;-0,06943;1,57299;9,67527
0,8639;-0,03112;1,61369;9,64414
0,8662;-0,01437;1,64003;9,63696
0,8681;0,02634;1,65918;9,6202
0,8698;0,11013;1,68073;9,61541
0,8742;0,14126;1,71185;9,60105
0,8742;0,19393;1,75734;9,57711
0,8771;0,26336;1,78847;9,54359
0,8798;0,30885;1,82199;9,51965
0,8804;0,33279;1,83156;9,4981
0,8827;0,39265;1,83156;9,4574
0,8847;0,4142;1,83635;9,44543
0,886;0,46448;1,86029;9,39993
0,8884;0,4956;1,87705;9,39036
0,8902;0,55306;1,89621;9,3736
0,8934;0,64883;1,93691;9,34726
0,8945;0,67516;1,97282;9,34726
0,8961;0,71587;2,01352;9,32093
0,899;0,74939;2,05183;9,32811
0,9002;0,76614;2,0638;9,31853
0,9022;0,75896;2,1045;9,30656
0,9036;0,75417;2,12845;9,29938
0,9063;0,7422;2,15478;9,30177
0,9082;0,75178;2,18591;9,28022
0,9108;0,7446;2,19548;9,27783
0,9121;0,73502;2,19548;9,29698
0,9143;0,7039;2,19309;9,2898
0,9163;0,68953;2,18351;9,31374
0,9186;0,67995;2,17154;9,34008
0,9202;0,67995;2,16675;9,37839
0,9222;0,68953;2,17394;9,39993
0,9244;0,69192;2,16675;9,45021
0,9267;0,68474;2,17154;9,48134
0,9287;0,6608;2,15718;9,51725
0,9296;0,64883;2,12366;9,53162
0,9324;0,63686;2,11408;9,55077
0,9344;0,60334;2,08535;9,55316
0,9359;0,5363;2,04944;9,54598
0,9393;0,49081;1,99916;9,51725
0,9405;0,46926;1,96803;9,50767
0,9425;0,44772;1,95127;9,49331
0,9444;0,39504;1,92254;9,48134
0,9465;0,35195;1,88184;9,43585
0,948;0,32561;1,86269;9,42867
0,951;0,28491;1,84114;9,42627
0,9526;0,25857;1,83396;9,43106
