time;X_value;Y_value;Z_value
0,7048;-5,15741;1,36709;8,41113
0,7048;-5,22205;1,34554;8,45662
0,7048;-5,27473;1,29766;8,53802
0,7055;-5,40401;1,23062;8,64337
0,7076;-5,46147;1,1995;8,69843
0,7123;-5,74878;1,1157;8,98095
0,7123;-5,74878;1,1157;8,98095
0,7129;-5,80624;1,09415;9,03602
0,7154;-5,90201;1,06781;9,17009
0,7187;-5,92355;1,0319;9,28501
0,7208;-5,9068;1,00556;9,40712
0,7209;-5,90201;0,98881;9,45979
0,7232;-5,89961;0,96247;9,4957
0,7252;-5,89004;0,86431;9,56274
0,7273;-5,85891;0,75657;9,61063
0,7323;-5,80863;0,62249;9,60105
0,7324;-5,80384;0,56982;9,57711
0,7334;-5,79666;0,50039;9,54598
0,7354;-5,79187;0,43096;9,51007
0,7373;-5,81581;0,30646;9,44303
0,7402;-5,84215;0,13408;9,30896
0,7411;-5,87088;0,05507;9,21558
0,7434;-5,94031;-0,13886;9,05756
0,7452;-5,99059;-0,22745;8,97377
0,7473;-6,12946;-0,41659;8,81096
0,7532;-6,38564;-0,75657;8,42789
0,7532;-6,38564;-0,75657;8,42789
0,7553;-6,44788;-0,83558;8,31297
0,7559;-6,5221;-0,90501;8,18847
0,7573;-6,67533;-1,01754;7,98975
0,7613;-6,91475;-1,13725;7,86046
0,7613;-6,91475;-1,13725;7,86046
0,7635;-6,98658;-1,1157;7,80061
0,7652;-6,99376;-1,03908;7,74794
0,7674;-7,0201;-0,98881;7,58992
0,7725;-6,97221;-0,75896;6,08875
0,7725;-6,97221;-0,75896;6,08875
0,7736;-6,92433;-0,66798;5,63386
0,776;-6,74237;-0,35913;4,6663
0,7772;-6,6083;-0,14605;4,18746
0,7809;-6,32099;0,53391;3,52666
0,7821;-6,30184;0,73741;3,69665
0,7836;-6,33057;0,91937;4,00311
0,7859;-6,51253;1,19471;4,75967
0,7914;-6,76871;1,40779;5,50936
0,7923;-7,26431;1,48441;6,35212
0,7923;-7,41993;1,44849;6,53886
0,793;-7,41993;1,44849;6,53886
0,7954;-7,68808;1,3623;6,73279
0,7973;-7,97299;1,25935;6,7711
0,8007;-8,26987;1,13725;6,66097
0,8024;-8,41113;1,08218;6,59154
0,8031;-8,63858;0,96486;6,40718
0,8056;-8,70083;0,93134;6,29466
0,8071;-8,76787;0,90022;6,151
0,8129;-8,68167;0,84994;6,20128
0,8138;-8,68167;0,84994;6,20128
0,8139;-8,67449;0,82121;6,18931
0,8157;-8,68886;0,78769;6,17734
0,8177;-8,73195;0,70868;6,17734
0,8212;-8,63379;0,59137;6,21086
0,8219;-8,51408;0,54348;6,23959
0,8234;-8,27466;0,48363;6,24917
0,8257;-8,23635;0,46208;6,22044
0,8276;-8,34409;0,37828;6,10073
0,833;-8,85885;0,249;5,71286
0,8331;-8,85885;0,249;5,71286
0,8331;-8,94983;0,2083;5,59794
0,8393;-9,00968;0,16281;5,35613
0,8394;-8,99053;0,15323;5,22445
0,8398;-8,86842;0,13408;4,97784
0,8412;-8,68167;0,11971;4,75967
0,844;-8,59788;0,07422;4,64954
0,8459;-8,43507;0,01676;4,38618
0,8475;-8,37282;-0,02634;4,24731
0,8523;-8,21481;-0,23703;3,49793
0,8524;-8,21481;-0,23703;3,49793
0,8531;-8,20283;-0,31603;3,27527
0,8554;-8,15256;-0,48602;2,74615
0,8575;-8,12622;-0,58419;2,13563
0,8602;-8,11425;-0,67516;1,45089
0,8611;-8,14058;-0,7015;1,15401
0,8633;-8,1765;-0,69671;0,92416
0,8657;-8,26748;-0,64404;0,67038
0,8673;-8,41113;-0,51954;0,75657
0,8723;-8,65773;-0,32082;1,24738
0,8723;-8,65773;-0,26815;1,43173
0,873;-8,68646;-0,23224;1,61369
0,8754;-8,68886;-0,19632;1,80762
0,8771;-8,65773;-0,11013;2,2314
0,8809;-8,6697;-0,06704;2,65038
0,8814;-8,71998;-0,05746;2,80361
0,8835;-8,82533;-0,10534;2,94487
0,8856;-8,85166;-0,13408;2,96881
0,8871;-8,8756;-0,21069;2,99036
0,8929;-8,81096;-0,39983;3,04064
0,8929;-8,81096;-0,39983;3,04064
0,8935;-8,75829;-0,45011;3,04064
0,8962;-8,69125;-0,48842;3,02867
0,8972;-8,51169;-0,56264;2,96402
0,9;-8,3393;-0,61292;2,87783
0,901;-8,27466;-0,63925;2,82995
0,9035;-8,16932;-0,68235;2,73657
0,9061;-8,06158;-0,69432;2,65038
0,9074;-8,00412;-0,67995;2,61686
0,9119;-7,90117;-0,63207;2,6001
0,9119;-7,90117;-0,63207;2,6001
0,9131;-7,88919;-0,62728;2,62165
0,9162;-7,88919;-0,62489;2,67193
0,917;-7,8868;-0,62489;2,71502
0,9216;-7,8054;-0,59376;2,79164
0,9216;-7,7647;-0,58897;2,77967
0,9233;-7,72639;-0,59855;2,7653
0,9255;-7,7216;-0,63446;2,69348
0,9273;-7,75033;-0,68474;2,62165
0,9327;-7,92032;-0,7829;2,61926
0,9327;-8,00412;-0,81163;2,63841
0,9335;-8,00412;-0,81163;2,63841
0,9353;-8,20283;-0,84515;2,69827
0,9391;-8,40634;-0,88585;2,78206
0,9403;-8,629;-0,93374;2,91614
0,9413;-8,76068;-0,99838;2,99993
0,9446;-9,05517;-1,18992;3,24654
0,9458;-9,14136;-1,24498;3,3878
0,9483;-9,15812;-1,27611;3,64398
0,9565;-8,89476;-1,18992;4,02705
0,9565;-8,89476;-1,18992;4,02705
0,9566;-8,82533;-1,16837;4,10127
0,9566;-8,76308;-1,15161;4,15155
0,958;-8,63858;-1,12767;4,18506
0,9604;-8,53802;-1,11091;4,15155
0,9624;-8,5069;-1,09654;4,10366
0,9633;-8,4638;-1,07021;3,91213
0,9654;-8,45662;-1,04627;3,80199
0,9677;-8,46141;-0,99599;3,57694
0,9727;-8,54521;-0,81642;3,20344
0,9727;-8,54521;-0,81642;3,20344
0,973;-8,58591;-0,76614;3,14598
0,976;-8,66252;-0,65841;3,06697
0,977;-8,69604;-0,59855;3,03106
0,9804;-8,79181;-0,49799;2,98078
0,9814;-8,84209;-0,44772;2,92332
0,9833;-8,8373;-0,2466;2,88501
0,9854;-8,68646;0,1221;2,82755
0,9877;-8,57154;0,2873;2,82755
0,9925;-8,09749;0,43574;2,70545
0,9925;-8,09749;0,43574;2,70545
0,9931;-7,96341;0,35674;2,63602
0,9964;-7,67132;0,14844;2,48758
0,9973;-7,37205;-0,10774;2,28407
1,0008;-7,10868;-0,41899;2,00155
1,0017;-6,96503;-0,57461;1,86508
1,004;-6,82617;-0,72305;1,73819
1,0057;-6,61548;-1,01754;1,51792
1,0081;-6,44788;-1,26893;1,34315
1,0121;-6,3593;-1,53229;1,04387
1,0122;-6,34493;-1,59454;0,91698
1,0128;-6,33775;-1,652;0,76614
1,0156;-6,32339;-1,69988;0,60573
